iter	Passed	Remaining
768	3835	1152
769	3840	1147
770	3845	1142
771	3850	1137
772	3855	1132
773	3859	1127
774	3864	1121
775	3868	1116
776	3873	1111
777	3878	1106
778	3884	1101
779	3899	1099
780	3904	1094
781	3909	1089
782	3914	1084
783	3919	1079
784	3924	1074
785	3929	1069
786	3934	1064
787	3939	1059
788	3944	1054
789	3949	1049
790	3954	1044
791	3959	1039
792	3963	1034
793	3968	1029
794	3973	1024
795	3978	1019
796	3983	1014
797	3988	1009
798	3993	1004
799	3998	999
800	4002	994
801	4007	989
802	4012	984
803	4017	979
804	4022	974
805	4026	969
806	4031	964
807	4036	959
808	4041	954
809	4046	949
810	4051	944
811	4056	939
812	4061	934
813	4066	929
814	4070	924
815	4075	919
816	4080	914
817	4085	909
818	4090	904
819	4095	898
820	4100	893
821	4105	888
822	4109	883
823	4115	878
824	4119	873
825	4124	868
826	4129	863
827	4134	858
828	4139	853
829	4144	848
830	4148	843
831	4153	838
832	4158	833
833	4163	828
834	4167	823
835	4173	818
836	4177	813
837	4182	808
838	4187	803
839	4192	798
840	4197	793
841	4203	788
842	4209	783
843	4215	779
844	4220	774
845	4228	769
846	4234	764
847	4239	759
848	4245	755
849	4250	750
850	4255	745
851	4260	740
852	4265	735
853	4271	730
854	4275	725
855	4281	720
856	4285	715
857	4290	710
858	4295	705
859	4300	700
860	4305	695
861	4310	690
862	4315	685
863	4320	680
864	4325	675
865	4330	670
866	4335	665
867	4340	660
868	4345	655
869	4351	650
870	4356	645
871	4362	640
872	4367	635
873	4373	630
874	4378	625
875	4384	620
876	4389	615
877	4395	610
878	4399	605
879	4405	600
880	4410	595
881	4414	590
882	4419	585
883	4424	580
884	4429	575
885	4433	570
886	4438	565
887	4443	560
888	4448	555
889	4455	550
890	4459	545
891	4464	540
892	4469	535
893	4474	530
894	4479	525
895	4483	520
896	4488	515
897	4493	510
898	4498	505
899	4503	500
900	4508	495
901	4513	490
902	4518	485
903	4523	480
904	4527	475
905	4532	470
906	4537	465
907	4542	460
908	4547	455
909	4553	450
910	4557	445
911	4562	440
912	4567	435
913	4572	430
914	4577	425
915	4582	420
916	4587	415
917	4591	410
918	4596	405
919	4601	400
920	4606	395
921	4610	390
922	4615	385
923	4620	380
924	4625	375
925	4630	370
926	4635	365
927	4640	360
928	4645	355
929	4651	350
930	4657	345
931	4662	340
932	4667	335
933	4672	330
934	4677	325
935	4682	320
936	4687	315
937	4692	310
938	4697	305
939	4701	300
940	4708	295
941	4713	290
942	4719	285
943	4725	280
944	4731	275
945	4736	270
946	4742	265
947	4748	260
948	4753	255
949	4758	250
950	4764	245
951	4768	240
952	4773	235
953	4777	230
954	4782	225
955	4787	220
956	4791	215
957	4797	210
958	4801	205
959	4806	200
960	4811	195
961	4815	190
962	4820	185
963	4824	180
964	4830	175
965	4834	170
966	4839	165
967	4844	160
968	4850	155
969	4856	150
970	4861	145
971	4867	140
972	4871	135
973	4876	130
974	4881	125
975	4887	120
976	4892	115
977	4897	110
978	4902	105
979	4907	100
980	4912	95
981	4916	90
982	4921	85
983	4926	80
984	4931	75
985	4936	70
986	4941	65
987	4947	60
988	4952	55
989	4957	50
990	4962	45
991	4967	40
992	4972	35
993	4976	30
994	4981	25
995	4986	20
996	4991	15
997	4996	10
998	5001	5
999	5005	0
